FILENAME	SEQ	COMPOUND_NAME	MOLECULEMASS	INSTRUMENT	IONSOURCE	EXTRACTSCAN	SMILES	INCHI	INCHIAUX	CHARGE	IONMODE	PUBMED	ACQUISITION	EXACTMASS	DATACOLLECTOR	ADDUCT	CASNUMBER	PI	LIBQUALITY	GENUS	SPECIES	INTEREST	STRAIN
20240430_IM_BA_new_core_MZMine_libraryoutput_for_GNPS.mgf	*..*	7alpha_Spermidine	504.452354064	Orbitrap	LC-ESI	1	C[C@H](CCC(=O)NCCCNCCCCN)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C	N/A	N/A	1	Positive	N/A	Crude	503.44507806400003	Wender	[M+H]+	N/A	Pieter Dorrestein	1	N/A	N/A	N/A	N/A
20240430_IM_BA_new_core_MZMine_libraryoutput_for_GNPS.mgf	*..*	7alpha_Spermidine	504.452354064	Orbitrap	LC-ESI	2	C[C@H](CCC(=O)NCCCNCCCCN)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C	N/A	N/A	1	Positive	N/A	Crude	503.44507806400003	Wender	[M+H]+	N/A	Pieter Dorrestein	1	N/A	N/A	N/A	N/A
20240430_IM_BA_new_core_MZMine_libraryoutput_for_GNPS.mgf	*..*	7alpha_Spermidine	504.452354064	Orbitrap	LC-ESI	3	C[C@H](CCC(=O)NCCCNCCCCN)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C	N/A	N/A	1	Positive	N/A	Crude	503.44507806400003	Wender	[M+H]+	N/A	Pieter Dorrestein	1	N/A	N/A	N/A	N/A
20240430_IM_BA_new_core_MZMine_libraryoutput_for_GNPS.mgf	*..*	7alpha_Spermidine	504.452354064	Orbitrap	LC-ESI	4	C[C@H](CCC(=O)NCCCNCCCCN)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C	N/A	N/A	1	Positive	N/A	Crude	503.44507806400003	Wender	[M+H]+	N/A	Pieter Dorrestein	1	N/A	N/A	N/A	N/A
20240430_IM_BA_new_core_MZMine_libraryoutput_for_GNPS.mgf	*..*	7alpha_Ornithine	491.38433408	Orbitrap	LC-ESI	5	C[C@H](CCC(=O)N[C@@H](CCCN)C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C	N/A	N/A	1	Positive	N/A	Crude	490.37705808	Wender	[M+H]+	N/A	Pieter Dorrestein	1	N/A	N/A	N/A	N/A
20240430_IM_BA_new_core_MZMine_libraryoutput_for_GNPS.mgf	*..*	7alpha_Pro	491.384331984	Orbitrap	LC-ESI	6	C[C@H](CCC(=O)N1CCC[C@H]1C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C	N/A	N/A	1	Positive	N/A	Crude	473.35050898400004	Wender	[M+NH4]+	N/A	Pieter Dorrestein	1	N/A	N/A	N/A	N/A
20240430_IM_BA_new_core_MZMine_libraryoutput_for_GNPS.mgf	*..*	7alpha_Lys	505.399984144	Orbitrap	LC-ESI	7	C[C@H](CCC(=O)N[C@@H](CCCCN)C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C	N/A	N/A	1	Positive	N/A	Crude	504.392708144	Wender	[M+H]+	N/A	Pieter Dorrestein	1	N/A	N/A	N/A	N/A
20240430_IM_BA_new_core_MZMine_libraryoutput_for_GNPS.mgf	*..*	7alpha_His	514.363932984	Orbitrap	LC-ESI	8	C[C@H](CCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C	N/A	N/A	1	Positive	N/A	Crude	513.356656984	Wender	[M+H]+	N/A	Pieter Dorrestein	1	N/A	N/A	N/A	N/A
20240430_IM_BA_new_core_MZMine_libraryoutput_for_GNPS.mgf	*..*	7alpha_His	536.345874984	Orbitrap	LC-ESI	9	C[C@H](CCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C	N/A	N/A	0	Positive	N/A	Crude	513.356656984	Wender	[M+Na]+	N/A	Pieter Dorrestein	1	N/A	N/A	N/A	N/A
20240430_IM_BA_new_core_MZMine_libraryoutput_for_GNPS.mgf	*..*	7alpha_1,3-diaminopropane	433.37885477599997	Orbitrap	LC-ESI	10	C[C@H](CCC(=O)NCCCN)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@]12C	N/A	N/A	1	Positive	N/A	Crude	432.371578776	Wender	[M+H]+	N/A	Pieter Dorrestein	1	N/A	N/A	N/A	N/A
